R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner,win_by_Decision,win_by_KO,win_by_Submission,win_by_Other,R_SIG_STR._att,R_SIG_STR._landed,B_SIG_STR._att,B_SIG_STR._landed,R_TOTAL_STR._att,R_TOTAL_STR._landed,B_TOTAL_STR._att,B_TOTAL_STR._landed,R_TD_att,R_TD_landed,B_TD_att,B_TD_landed,R_HEAD_att,R_HEAD_landed,B_HEAD_att,B_HEAD_landed,R_BODY_att,R_BODY_landed,B_BODY_att,B_BODY_landed,R_LEG_att,R_LEG_landed,B_LEG_att,B_LEG_landed,R_DISTANCE_att,R_DISTANCE_landed,B_DISTANCE_att,B_DISTANCE_landed,R_CLINCH_att,R_CLINCH_landed,B_CLINCH_att,B_CLINCH_landed,R_GROUND_att,R_GROUND_landed,B_GROUND_att,B_GROUND_landed,weight_class,No_of_rounds,total_time_fought(seconds),total_time_fought(minutes),R_Stance,R_DOB,R_Height,R_Reach,R_Weight,B_Stance,B_DOB,B_Height,B_Reach,B_Weight,R_age,B_age,fight_year
Alex Oliveira,Carlo Pedersoli,0,0,0.7,0.5,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,39,3 Rnd (5-5-5),Jerin Valel,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Welterweight Bout,Alex Oliveira,False,True,False,False,10,7,4,2,13,10,4,2,0,0,0,0,9,7,2,0,1,0,1,1,0,0,1,1,4,2,4,2,0,0,0,0,6,5,0,0,Welterweight,3,39,0.65,Orthodox,1988-02-21,180.34,193.04,170.0,Southpaw,1993-06-08,180.34,190.5,170.0,30.0,25.0,2018
Sam Alvey,Rogerio Nogueira,0,1,0.41,0.5,0.0,0.0,0,0,0,0,0,0,KO/TKO,2,60,3 Rnd (5-5-5),Marc Goddard,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Light Heavyweight Bout,Rogerio Nogueira,False,True,False,False,82,34,52,26,82,34,53,26,0,0,0,0,67,20,44,20,2,2,7,5,13,12,1,1,79,32,42,20,3,2,7,4,0,0,3,2,Light Heavyweight,3,360,6.0,Southpaw,1986-05-06,187.96,190.5,205.0,Southpaw,1976-06-02,187.96,190.5,205.0,32.0,42.0,2018
Renan Barao,Andre Ewell,0,1,0.43,0.43,0.6,1.0,2,0,3,0,0,0,Decision - Split,3,300,3 Rnd (5-5-5),Fernando Portella,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Bantamweight Bout,Andre Ewell,True,False,False,False,101,44,123,53,124,67,128,57,5,3,1,1,61,23,104,41,25,12,16,11,15,9,3,1,82,26,120,52,2,2,1,0,17,16,2,1,Bantamweight,3,900,15.0,Orthodox,1987-01-31,167.64000000000001,177.8,135.0,Southpaw,1988-01-21,172.72,190.5,135.0,31.0,30.0,2018
Randa Markos,Marina Rodriguez,0,0,0.41,0.42,0.4,0.0,0,0,4,0,0,1,Decision - Majority,3,300,3 Rnd (5-5-5),Camila Albuquerque,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Women's Strawweight Bout,Draw,True,False,False,False,116,48,142,60,139,66,153,71,5,2,0,0,111,44,99,26,4,3,18,13,1,1,25,21,86,26,122,45,18,11,20,15,12,11,0,0,Women's Strawweight,3,900,15.0,Orthodox,1985-08-10,162.56,160.02,115.0,Orthodox,1987-04-29,167.64000000000001,165.1,115.0,33.0,31.0,2018
Charles Oliveira,Christos Giagos,0,0,0.46,0.22,0.5,0.0,1,0,3,0,0,0,Submission,2,202,3 Rnd (5-5-5),Jerin Valel,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Lightweight Bout,Charles Oliveira,False,False,True,False,60,28,80,18,60,28,82,20,4,2,0,0,35,13,65,13,14,7,12,3,11,8,3,2,55,25,76,16,3,1,3,1,2,2,1,1,Lightweight,3,502,8.366666666666667,Orthodox,1989-10-17,177.8,187.96,155.0,Orthodox,1990-01-23,177.8,180.34,155.0,29.0,28.0,2018
Francisco Trinaldo,Evan Dunham,1,0,0.4,0.29,0.0,0.5,0,0,1,0,1,0,KO/TKO,2,250,3 Rnd (5-5-5),Marc Goddard,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Lightweight Bout,Francisco Trinaldo,False,True,False,False,69,28,85,25,69,28,88,28,1,0,2,1,57,20,77,21,11,7,7,3,1,1,1,1,60,22,75,18,7,4,8,6,2,2,2,1,Lightweight,3,550,9.166666666666666,Southpaw,1978-08-24,175.26,177.8,155.0,Southpaw,1981-12-18,177.8,177.8,155.0,40.0,37.0,2018
Luis Henrique,Ryan Spann,0,0,0.5,0.47,0.36,0.0,1,1,2,5,0,1,Decision - Unanimous,3,300,3 Rnd (5-5-5),Fernando Portella,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Light Heavyweight Bout,Ryan Spann,True,False,False,False,59,30,97,46,78,48,101,50,11,4,0,0,51,22,88,38,6,6,8,8,2,2,1,0,35,14,68,23,3,2,6,5,21,14,23,18,Light Heavyweight,3,900,15.0,Orthodox,1993-08-21,187.96,187.96,243.0,Orthodox,1991-08-24,195.57999999999998,200.66,205.0,25.0,27.0,2018
Augusto Sakai,Chase Sherman,0,0,0.5,0.44,1.0,0.0,0,0,1,0,0,0,KO/TKO,3,243,3 Rnd (5-5-5),Marc Goddard,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Heavyweight Bout,Augusto Sakai,False,True,False,False,218,111,178,79,233,125,183,84,1,1,0,0,169,81,120,37,35,21,36,24,14,9,22,18,167,69,165,73,38,30,13,6,13,12,0,0,Heavyweight,3,843,14.05,Orthodox,1991-05-09,190.5,195.58,265.0,Orthodox,1989-11-16,193.04,198.12,250.0,27.0,29.0,2018
Sergio Moraes,Ben Saunders,0,0,0.66,0.5,1.0,0.0,2,0,4,1,0,0,Submission,2,282,3 Rnd (5-5-5),Jerin Valel,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Welterweight Bout,Sergio Moraes,False,False,True,False,3,2,2,1,20,17,56,55,2,2,0,0,3,2,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,2,1,0,Welterweight,3,582,9.7,Orthodox,1982-07-23,182.88,182.88,170.0,Orthodox,1983-04-13,187.96,195.58,170.0,36.0,35.0,2018
Mayra Bueno Silva,Gillian Robertson,0,0,0.34,0.61,0.0,0.33,1,0,0,2,0,0,Submission,1,295,3 Rnd (5-5-5),Camila Albuquerque,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Women's Flyweight Bout,Mayra Bueno Silva,False,False,True,False,32,11,18,11,33,12,27,17,0,0,3,1,30,9,17,10,2,2,1,1,0,0,0,0,22,5,8,2,1,0,1,1,9,6,9,8,Women's Flyweight,3,295,4.916666666666667,Orthodox,1991-08-22,167.64000000000001,,135.0,,1995-05-17,165.1,160.02,125.0,27.0,23.0,2018
Thales Leites,Hector Lombard,0,0,0.46,0.57,0.66,0.0,0,0,0,0,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Jerin Valel,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Middleweight Bout,Thales Leites,True,False,False,False,117,54,80,46,123,60,98,62,3,2,0,0,85,26,40,16,22,18,4,3,10,10,36,27,106,45,74,42,11,9,6,4,0,0,0,0,Middleweight,3,900,15.0,Orthodox,1981-09-06,185.42,198.12,185.0,Southpaw,1978-02-02,175.26,180.34,185.0,37.0,40.0,2018
Elizeu Zaleski dos Santos,Luigi Vendramini,1,0,0.46,0.23,0.0,0.0,0,1,0,1,0,0,KO/TKO,2,80,3 Rnd (5-5-5),Fernando Portella,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Welterweight Bout,Elizeu Zaleski dos Santos,False,True,False,False,32,15,17,4,32,15,21,7,0,0,5,0,24,8,11,1,3,2,3,2,5,5,3,1,24,9,17,4,4,3,0,0,4,3,0,0,Welterweight,3,380,6.333333333333333,Orthodox,1986-12-11,180.34,185.42000000000002,170.0,Orthodox,1996-01-16,172.72,,170.0,32.0,22.0,2018
Livinha Souza,Alex Chambers,0,0,0.55,0.44,1.0,0.0,1,0,2,0,0,0,Submission,1,81,3 Rnd (5-5-5),Camila Albuquerque,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Women's Strawweight Bout,Livinha Souza,False,False,True,False,18,10,9,4,18,10,9,4,1,1,0,0,14,7,9,4,1,1,0,0,3,2,0,0,9,6,7,3,5,2,2,1,4,2,0,0,Women's Strawweight,3,81,1.35,Orthodox,1991-03-11,165.1,160.02,115.0,,1978-10-25,160.02,160.02,115.0,27.0,40.0,2018
Mark Hunt,Aleksei Oleinik,0,0,0.22,0.11,0.0,0.2,0,1,0,1,0,0,Submission,1,266,5 Rnd (5-5-5-5-5),Herb Dean,2018-09-15,"Moscow, Moscow, Russia",Heavyweight Bout,Aleksei Oleinik,False,False,True,False,27,6,26,3,27,6,26,3,0,0,5,1,20,2,22,2,2,0,0,0,5,4,4,1,27,6,26,3,0,0,0,0,0,0,0,0,Heavyweight,5,266,4.433333333333334,Orthodox,1974-03-23,177.8,182.88,265.0,Orthodox,1977-06-20,187.96,203.2,240.0,44.0,41.0,2018
Jan Blachowicz,Nikita Krylov,0,0,0.55,0.18,1.0,1.0,1,1,4,0,0,0,Submission,2,161,3 Rnd (5-5-5),Marc Goddard,2018-09-15,"Moscow, Moscow, Russia",Light Heavyweight Bout,Jan Blachowicz,False,False,True,False,18,10,22,4,33,24,40,21,1,1,1,1,17,10,14,3,1,0,5,0,0,0,3,1,5,1,16,2,0,0,0,0,13,9,6,2,Light Heavyweight,3,461,7.683333333333334,Orthodox,1983-02-24,187.96,198.12,205.0,Orthodox,1992-03-07,190.5,195.58,205.0,35.0,26.0,2018
Andrei Arlovski,Shamil Abdurakhimov,0,0,0.31,0.45,0.66,0.5,0,0,0,0,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Leon Roberts,2018-09-15,"Moscow, Moscow, Russia",Heavyweight Bout,Shamil Abdurakhimov,True,False,False,False,58,18,70,32,71,27,108,67,3,2,4,2,45,8,50,19,9,6,16,9,4,4,4,4,39,9,41,12,13,6,11,6,6,3,18,14,Heavyweight,3,900,15.0,Orthodox,1979-02-04,190.5,195.58,240.0,Orthodox,1981-09-02,190.5,193.04,235.0,39.0,37.0,2018
Aleksei Kunchenko,Thiago Alves,0,0,0.28,0.32,0.5,0.0,0,0,0,0,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Marc Goddard,2018-09-15,"Moscow, Moscow, Russia",Welterweight Bout,Aleksei Kunchenko,True,False,False,False,153,44,175,56,166,56,175,56,2,1,0,0,133,32,116,19,8,5,22,11,12,7,37,26,141,40,173,56,12,4,2,0,0,0,0,0,Welterweight,3,900,15.0,Orthodox,1984-05-02,172.72,177.8,170.0,Orthodox,1983-10-03,175.26,177.8,170.0,34.0,35.0,2018
Khalid Murtazaliev,CB Dollaway,0,0,0.69,0.21,1.0,0.66,0,3,5,2,1,0,KO/TKO,2,300,3 Rnd (5-5-5),Herb Dean,2018-09-15,"Moscow, Moscow, Russia",Middleweight Bout,Khalid Murtazaliev,False,True,False,False,69,48,19,4,74,53,38,23,5,5,3,2,53,33,12,1,12,11,6,2,4,4,1,1,12,8,18,4,3,3,1,0,54,37,0,0,Middleweight,3,600,10.0,Orthodox,1993-07-15,182.88,193.04,185.0,Orthodox,1983-08-10,187.96,193.04,185.0,25.0,35.0,2018
Petr Yan,Jin Soo Son,0,0,0.43,0.26,0.0,0.14,0,0,0,0,1,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Marc Goddard,2018-09-15,"Moscow, Moscow, Russia",Bantamweight Bout,Petr Yan,True,False,False,False,232,100,220,58,249,115,226,63,1,0,7,1,216,87,203,51,13,10,13,4,3,3,4,3,195,73,201,47,29,20,13,7,8,7,6,4,Bantamweight,3,900,15.0,Switch,1993-02-11,170.18,170.18,135.0,Orthodox,1993-04-01,167.64000000000001,175.26,135.0,25.0,25.0,2018
Rustam Khabilov,Kajan Johnson,0,0,0.24,0.35,0.37,0.0,0,0,0,0,0,0,Decision - Split,3,300,3 Rnd (5-5-5),Leon Roberts,2018-09-15,"Moscow, Moscow, Russia",Lightweight Bout,Rustam Khabilov,True,False,False,False,70,17,123,44,88,34,137,57,8,3,0,0,64,16,85,15,6,1,10,6,0,0,28,23,59,11,118,42,5,2,5,2,6,4,0,0,Lightweight,3,900,15.0,Orthodox,1986-11-04,172.72,185.42000000000002,155.0,Orthodox,1984-04-21,180.34,190.5,155.0,32.0,34.0,2018
Mairbek Taisumov,Desmond Green,0,0,0.32,0.32,0.0,0.0,0,0,0,0,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Kiselev Viacheslav,2018-09-15,"Moscow, Moscow, Russia",Lightweight Bout,Mairbek Taisumov,True,False,False,False,82,27,83,27,83,28,83,27,0,0,4,0,52,11,59,16,16,5,12,4,14,11,12,7,80,26,81,27,2,1,2,0,0,0,0,0,Lightweight,3,900,15.0,Orthodox,1988-08-08,175.26,185.42000000000002,155.0,Southpaw,1989-10-11,177.8,185.42000000000002,155.0,30.0,29.0,2018
Magomed Ankalaev,Marcin Prachnio,1,0,0.44,0.13,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,189,3 Rnd (5-5-5),Herb Dean,2018-09-15,"Moscow, Moscow, Russia",Light Heavyweight Bout,Magomed Ankalaev,False,True,False,False,27,12,22,3,27,12,22,3,0,0,0,0,25,10,15,1,1,1,3,0,1,1,4,2,21,8,22,3,4,2,0,0,2,2,0,0,Light Heavyweight,3,189,3.15,Orthodox,1992-06-02,190.5,190.5,205.0,Orthodox,1988-07-14,190.5,187.96,205.0,26.0,30.0,2018
Adam Yandiev,Jordan Johnson,0,0,0.08,0.63,0.0,0.75,0,2,0,4,0,0,Submission,2,42,3 Rnd (5-5-5),Marc Goddard,2018-09-15,"Moscow, Moscow, Russia",Middleweight Bout,Jordan Johnson,False,False,True,False,12,1,55,35,12,1,82,55,0,0,4,3,9,0,52,33,2,0,2,1,1,1,1,1,10,1,15,3,2,0,2,2,0,0,38,30,Middleweight,3,342,5.7,Orthodox,1988-08-07,175.26,187.96,185.0,Orthodox,1988-11-18,187.96,200.66,205.0,30.0,30.0,2018
Ramazan Emeev,Stefan Sekulic,1,0,0.42,0.37,0.66,0.2,1,0,1,0,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Leon Roberts,2018-09-15,"Moscow, Moscow, Russia",Welterweight Bout,Ramazan Emeev,True,False,False,False,84,36,58,22,96,47,68,31,3,2,5,1,64,22,34,6,17,12,9,3,3,2,15,13,58,17,52,19,17,12,6,3,9,7,0,0,Welterweight,3,900,15.0,Southpaw,1987-05-23,177.8,193.04,170.0,Southpaw,1992-02-12,182.88,190.5,170.0,31.0,26.0,2018
Merab Dvalishvili,Terrion Ware,0,0,0.37,0.23,0.62,0.0,0,0,4,0,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Kiselev Viacheslav,2018-09-15,"Moscow, Moscow, Russia",Bantamweight Bout,Merab Dvalishvili,True,False,False,False,165,62,34,8,330,205,51,22,8,5,0,0,149,51,28,5,8,5,5,3,8,6,1,0,43,6,27,3,10,5,0,0,112,51,7,5,Bantamweight,3,900,15.0,Orthodox,1991-01-10,167.64000000000001,172.72,135.0,Orthodox,1986-03-31,172.72,180.34,135.0,27.0,32.0,2018
Tyron Woodley,Darren Till,1,0,0.72,0.0,0.0,0.0,1,0,1,0,0,0,Submission,2,259,5 Rnd (5-5-5-5-5),Dan Miragliotta,2018-09-08,"Dallas, Texas, USA",UFC Welterweight Title Bout,Tyron Woodley,False,False,True,False,79,57,6,0,97,74,7,1,4,0,0,0,67,47,6,0,9,7,0,0,3,3,0,0,19,7,6,0,6,5,0,0,54,45,0,0,Welterweight,5,559,9.316666666666666,Orthodox,1982-04-07,175.26,187.96,170.0,Southpaw,1992-12-24,182.88,187.96,170.0,36.0,26.0,2018
Jessica Andrade,Karolina Kowalkiewicz,1,0,0.52,0.42,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,118,3 Rnd (5-5-5),Kerry Hatley,2018-09-08,"Dallas, Texas, USA",Women's Strawweight Bout,Jessica Andrade,False,True,False,False,73,38,56,24,74,39,58,25,0,0,0,0,66,32,46,15,5,4,6,5,2,2,4,4,65,31,49,18,8,7,7,6,0,0,0,0,Women's Strawweight,3,118,1.9666666666666666,Orthodox,1991-09-25,154.94,157.48,115.0,Orthodox,1985-10-15,160.02,162.56,115.0,27.0,33.0,2018
Zabit Magomedsharipov,Brandon Davis,0,0,0.71,0.39,0.85,0.0,1,0,1,0,0,0,Submission,2,226,3 Rnd (5-5-5),Jacob Montalvo,2018-09-08,"Dallas, Texas, USA",Featherweight Bout,Zabit Magomedsharipov,False,False,True,False,53,38,69,27,62,47,71,29,7,6,0,0,40,26,37,8,4,4,15,7,9,8,17,12,37,25,66,24,7,5,3,3,9,8,0,0,Featherweight,3,526,8.766666666666667,Orthodox,1991-03-01,185.42,185.42000000000002,145.0,Orthodox,1990-05-08,177.8,182.88,135.0,27.0,28.0,2018
Jimmie Rivera,John Dodson,0,0,0.49,0.35,0.0,0.0,0,0,0,0,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Dan Miragliotta,2018-09-08,"Dallas, Texas, USA",Bantamweight Bout,Jimmie Rivera,True,False,False,False,125,62,117,41,126,63,117,41,3,0,1,0,79,25,95,21,21,16,17,15,25,21,5,5,121,60,109,34,4,2,8,7,0,0,0,0,Bantamweight,3,900,15.0,Orthodox,1989-06-29,162.56,172.72,135.0,Orthodox,1984-09-26,160.02,167.64000000000001,135.0,29.0,34.0,2018
Abdul Razak Alhassan,Niko Price,1,0,0.71,0.4,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,43,3 Rnd (5-5-5),Jacob Montalvo,2018-09-08,"Dallas, Texas, USA",Welterweight Bout,Abdul Razak Alhassan,False,True,False,False,21,15,10,4,21,15,10,4,0,0,1,0,17,11,6,2,3,3,4,2,1,1,0,0,20,14,10,4,1,1,0,0,0,0,0,0,Welterweight,3,43,0.7166666666666667,Orthodox,1985-08-11,177.8,185.42000000000002,170.0,Orthodox,1989-09-29,182.88,193.04,170.0,33.0,29.0,2018
Carla Esparza,Tatiana Suarez,0,0,0.6,0.83,0.0,0.81,0,0,0,14,1,0,KO/TKO,3,273,3 Rnd (5-5-5),Kerry Hatley,2018-09-08,"Dallas, Texas, USA",Women's Strawweight Bout,Tatiana Suarez,False,True,False,False,10,6,98,82,18,12,155,136,2,0,11,9,5,1,77,64,5,5,18,15,0,0,3,3,3,0,11,6,7,6,8,6,0,0,79,70,Women's Strawweight,3,873,14.55,,1987-10-10,154.94,160.02,115.0,,1990-12-19,165.1,167.64000000000001,115.0,31.0,28.0,2018
Aljamain Sterling,Cody Stamann,0,0,0.44,0.27,0.22,1.0,2,0,4,0,0,0,Submission,2,222,3 Rnd (5-5-5),Kevin MacDonald,2018-09-08,"Dallas, Texas, USA",Bantamweight Bout,Aljamain Sterling,False,False,True,False,74,33,43,12,105,63,51,20,9,2,3,3,56,23,31,2,13,7,7,6,5,3,5,4,51,13,35,7,4,3,8,5,19,17,0,0,Bantamweight,3,522,8.7,Orthodox,1989-07-31,170.18,180.34,135.0,Orthodox,1989-11-09,167.64000000000001,162.56,135.0,29.0,29.0,2018
Geoff Neal,Frank Camacho,2,0,0.57,0.43,0.0,0.0,0,0,0,0,0,0,KO/TKO,2,83,3 Rnd (5-5-5),Dan Miragliotta,2018-09-08,"Dallas, Texas, USA",Welterweight Bout,Geoff Neal,False,True,False,False,102,59,57,25,105,62,66,33,0,0,2,0,98,56,40,12,4,3,14,10,0,0,3,3,81,46,52,23,11,6,5,2,10,7,0,0,Welterweight,3,383,6.383333333333334,Southpaw,1990-08-28,180.34,190.5,170.0,Orthodox,1989-05-18,177.8,185.42000000000002,170.0,28.0,29.0,2018
Charles Byrd,Darren Stewart,0,1,0.6,0.36,0.0,0.0,0,0,0,0,0,0,KO/TKO,2,137,3 Rnd (5-5-5),Jacob Montalvo,2018-09-08,"Dallas, Texas, USA",Middleweight Bout,Darren Stewart,False,True,False,False,63,38,65,24,85,59,69,28,3,0,0,0,55,32,58,17,4,3,6,6,4,3,1,1,44,25,47,10,19,13,18,14,0,0,0,0,Middleweight,3,437,7.283333333333333,Orthodox,1983-10-11,177.8,185.42000000000002,185.0,Orthodox,1990-12-30,182.88,187.96,185.0,35.0,28.0,2018
Diego Sanchez,Craig White,0,1,0.59,0.42,0.75,0.0,0,1,5,0,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Kerry Hatley,2018-09-08,"Dallas, Texas, USA",Welterweight Bout,Diego Sanchez,True,False,False,False,77,46,42,18,124,82,94,64,4,3,0,0,65,34,39,16,12,12,3,2,0,0,0,0,8,3,17,8,1,1,1,1,68,42,24,9,Welterweight,3,900,15.0,Southpaw,1981-12-31,177.8,182.88,170.0,Orthodox,1990-07-01,187.96,193.04,170.0,37.0,28.0,2018
Jim Miller,Alex White,0,0,0.62,0.35,1.0,0.0,1,0,2,0,0,0,Submission,1,89,3 Rnd (5-5-5),Kevin MacDonald,2018-09-08,"Dallas, Texas, USA",Lightweight Bout,Jim Miller,False,False,True,False,24,15,14,5,26,17,14,5,1,1,0,0,19,11,11,3,2,2,3,2,3,2,0,0,15,8,12,4,0,0,2,1,9,7,0,0,Lightweight,3,89,1.4833333333333334,Southpaw,1983-08-30,172.72,180.34,155.0,Southpaw,1988-10-22,182.88,180.34,155.0,35.0,30.0,2018
Irene Aldana,Lucie Pudilova,0,0,0.52,0.31,0.0,0.0,0,0,0,0,0,0,Decision - Split,3,300,3 Rnd (5-5-5),Dan Miragliotta,2018-09-08,"Dallas, Texas, USA",Women's Bantamweight Bout,Irene Aldana,True,False,False,False,226,119,329,105,228,121,336,110,1,0,0,0,164,80,289,81,23,10,20,11,39,29,20,13,216,111,319,99,10,8,10,6,0,0,0,0,Women's Bantamweight,3,900,15.0,Orthodox,1988-03-26,175.26,172.72,135.0,Orthodox,1994-06-13,172.72,170.18,125.0,30.0,24.0,2018
Roberto Sanchez,Jarred Brooks,0,0,0.4,0.57,0.25,0.5,0,1,0,1,0,0,Decision - Split,3,300,3 Rnd (5-5-5),Jacob Montalvo,2018-09-08,"Dallas, Texas, USA",Flyweight Bout,Jarred Brooks,True,False,False,False,40,16,42,24,162,121,108,82,4,1,4,2,30,10,31,15,9,6,7,7,1,0,4,2,21,3,17,4,4,1,6,6,15,12,19,14,Flyweight,3,900,15.0,Orthodox,1986-03-05,167.64000000000001,167.64000000000001,125.0,Switch,1993-05-02,160.02,157.48,125.0,32.0,25.0,2018
Justin Gaethje,James Vick,1,0,0.46,0.5,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,87,5 Rnd (5-5-5-5-5),Kevin MacDonald,2018-08-25,"Lincoln, Nebraska, USA",Lightweight Bout,Justin Gaethje,False,True,False,False,15,7,20,10,15,7,21,11,0,0,0,0,8,3,9,3,3,2,8,5,4,2,3,2,14,6,20,10,0,0,0,0,1,1,0,0,Lightweight,5,87,1.45,Orthodox,1988-11-14,180.34,177.8,155.0,Orthodox,1987-02-23,190.5,193.04,155.0,30.0,31.0,2018
Michael Johnson,Andre Fili,0,0,0.56,0.31,0.0,0.5,0,1,0,1,1,0,Decision - Split,3,300,3 Rnd (5-5-5),Blake Grice,2018-08-25,"Lincoln, Nebraska, USA",Featherweight Bout,Michael Johnson,True,False,False,False,116,65,117,37,122,70,120,40,3,0,4,2,67,31,104,25,36,22,12,11,13,12,1,1,109,58,115,36,1,1,2,1,6,6,0,0,Featherweight,3,900,15.0,Southpaw,1986-06-04,177.8,185.42000000000002,145.0,Orthodox,1990-06-25,180.34,187.96,145.0,32.0,28.0,2018
Cortney Casey,Angela Hill,0,0,0.33,0.54,0.16,1.0,0,0,1,0,0,0,Decision - Split,3,300,3 Rnd (5-5-5),Bryan Miner,2018-08-25,"Lincoln, Nebraska, USA",Women's Strawweight Bout,Cortney Casey,True,False,False,False,333,111,222,121,341,117,224,123,6,1,1,1,290,80,156,65,28,17,41,34,15,14,25,22,321,100,211,110,10,9,10,10,2,2,1,1,Women's Strawweight,3,900,15.0,Orthodox,1987-05-05,170.18,170.18,115.0,Orthodox,1985-01-12,160.02,162.56,115.0,31.0,33.0,2018
Jake Ellenberger,Bryan Barberena,0,2,0.85,0.54,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,146,3 Rnd (5-5-5),Bryan Miner,2018-08-25,"Lincoln, Nebraska, USA",Welterweight Bout,Bryan Barberena,False,True,False,False,14,12,35,19,14,12,47,31,0,0,0,0,8,6,33,17,2,2,1,1,4,4,1,1,11,10,21,7,3,2,2,2,0,0,12,10,Welterweight,3,146,2.433333333333333,Orthodox,1985-03-28,175.26,180.34,170.0,Southpaw,1989-05-03,182.88,182.88,170.0,33.0,29.0,2018
John Moraga,Deiveson Figueiredo,0,2,0.53,0.74,0.0,0.5,1,1,0,2,0,0,KO/TKO,2,188,3 Rnd (5-5-5),Dave Jobeun,2018-08-25,"Lincoln, Nebraska, USA",Flyweight Bout,Deiveson Figueiredo,False,True,False,False,26,14,39,29,33,19,58,46,2,0,4,2,17,6,30,20,7,6,9,9,2,2,0,0,19,8,11,6,5,4,2,1,2,2,26,22,Flyweight,3,488,8.133333333333333,Orthodox,1984-03-20,167.64000000000001,167.64000000000001,125.0,Orthodox,1987-12-18,165.1,172.72,125.0,34.0,31.0,2018
Eryk Anders,Tim Williams,2,0,0.45,0.38,0.0,0.4,0,0,1,0,0,0,KO/TKO,3,282,3 Rnd (5-5-5),Blake Grice,2018-08-25,"Lincoln, Nebraska, USA",Middleweight Bout,Eryk Anders,False,True,False,False,93,42,113,43,97,46,126,52,1,0,5,2,80,30,89,29,13,12,13,5,0,0,11,9,84,38,101,38,7,4,8,3,2,0,4,2,Middleweight,3,882,14.7,Southpaw,1987-04-21,185.42,190.5,185.0,Orthodox,1986-07-03,187.96,193.04,185.0,31.0,32.0,2018
James Krause,Warlley Alves,0,0,0.55,0.43,0.0,1.0,0,0,0,0,0,0,KO/TKO,2,148,3 Rnd (5-5-5),Kevin MacDonald,2018-08-25,"Lincoln, Nebraska, USA",Welterweight Bout,James Krause,False,True,False,False,106,59,64,28,126,79,78,39,4,0,1,1,83,43,47,20,19,14,13,6,4,2,4,2,85,43,51,18,21,16,11,10,0,0,2,0,Welterweight,3,448,7.466666666666667,Orthodox,1986-06-04,187.96,185.42000000000002,170.0,Orthodox,1991-01-04,180.34,182.88,170.0,32.0,27.0,2018
Cory Sandhagen,Iuri Alcantara,0,0,0.58,0.37,0.0,1.0,0,2,2,0,0,0,KO/TKO,2,61,3 Rnd (5-5-5),Brandon Pfannenstiel,2018-08-25,"Lincoln, Nebraska, USA",Bantamweight Bout,Cory Sandhagen,False,True,False,False,113,66,24,9,159,104,29,13,0,0,1,1,112,65,24,9,0,0,0,0,1,1,0,0,8,6,12,1,1,0,3,1,104,60,9,7,Bantamweight,3,361,6.016666666666667,Switch,1992-04-20,180.34,177.8,135.0,Southpaw,1980-08-04,175.26,180.34,135.0,26.0,38.0,2018
