R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner,win_by_Decision,win_by_KO,win_by_Submission,win_by_Other,R_SIG_STR._att,R_SIG_STR._landed,B_SIG_STR._att,B_SIG_STR._landed,R_TOTAL_STR._att,R_TOTAL_STR._landed,B_TOTAL_STR._att,B_TOTAL_STR._landed,R_TD_att,R_TD_landed,B_TD_att,B_TD_landed,R_HEAD_att,R_HEAD_landed,B_HEAD_att,B_HEAD_landed,R_BODY_att,R_BODY_landed,B_BODY_att,B_BODY_landed,R_LEG_att,R_LEG_landed,B_LEG_att,B_LEG_landed,R_DISTANCE_att,R_DISTANCE_landed,B_DISTANCE_att,B_DISTANCE_landed,R_CLINCH_att,R_CLINCH_landed,B_CLINCH_att,B_CLINCH_landed,R_GROUND_att,R_GROUND_landed,B_GROUND_att,B_GROUND_landed,weight_class,No_of_rounds,total_time_fought(seconds),total_time_fought(minutes),R_Stance,R_DOB,R_Height,R_Reach,R_Weight,B_Stance,B_DOB,B_Height,B_Reach,B_Weight,R_age,B_age,fight_year
Bevon Lewis,Darren Stewart,0,0,0.36,0.41,0.0,0.0,0,0,0,0,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Middleweight Bout,Darren Stewart,True,False,False,False,84,31,73,30,98,45,84,40,5,0,0,0,49,13,52,11,23,12,6,5,12,6,15,14,62,15,55,18,22,16,18,12,0,0,0,0,Middleweight,3,900,15.0,Orthodox,1991-05-05,190.5,200.66,185.0,Orthodox,1990-12-30,182.88,187.96,185.0,28.0,29.0,2019
Eddie Wineland,Grigorii Popov,2,0,0.43,0.36,0.0,0.0,0,0,0,0,0,0,KO/TKO,2,287,3 Rnd (5-5-5),Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Bantamweight Bout,Eddie Wineland,False,True,False,False,171,74,150,55,171,74,150,55,2,0,1,0,129,48,97,24,39,23,39,20,3,3,14,11,165,70,146,52,1,0,4,3,5,4,0,0,Bantamweight,3,587,9.783333333333333,Orthodox,1984-06-26,170.18,175.26,135.0,Switch,1984-04-18,170.18,172.72,135.0,35.0,35.0,2019
Katlyn Chookagian,Joanne Calderwood,0,0,0.37,0.42,0.0,0.75,0,0,0,0,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Women's Flyweight Bout,Katlyn Chookagian,True,False,False,False,221,82,266,112,250,108,300,141,2,0,4,3,179,50,139,24,27,20,40,19,15,12,87,69,215,78,252,104,5,3,12,7,1,1,2,1,Women's Flyweight,3,900,15.0,Orthodox,1988-12-28,175.26,172.72,125.0,Orthodox,1985-12-23,167.64000000000001,165.1,125.0,31.0,34.0,2019
Alexander Gustafsson,Anthony Smith,0,0,0.47,0.47,0.33,0.0,0,1,1,1,0,0,Submission,4,158,5 Rnd (5-5-5-5-5),Marc Goddard,2019-06-01,"Stockholm, Sweden",Light Heavyweight Bout,Anthony Smith,False,False,True,False,151,72,104,49,152,73,107,51,3,1,1,0,79,26,62,19,21,8,19,11,51,38,23,19,147,70,98,44,1,0,1,0,3,2,5,5,Light Heavyweight,5,1058,17.633333333333333,Orthodox,1987-01-15,195.57999999999998,200.66,205.0,Orthodox,1988-07-26,193.04,193.04,205.0,32.0,31.0,2019
Jimi Manuwa,Aleksandar Rakic,0,1,0.66,0.28,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,47,3 Rnd (5-5-5),Kevin Sataki,2019-06-01,"Stockholm, Sweden",Light Heavyweight Bout,Aleksandar Rakic,False,True,False,False,3,2,7,2,3,2,7,2,0,0,0,0,2,1,5,1,0,0,0,0,1,1,2,1,3,2,7,2,0,0,0,0,0,0,0,0,Light Heavyweight,3,47,0.7833333333333333,Orthodox,1980-02-18,185.42,200.66,205.0,Orthodox,1992-02-06,193.04,198.12,205.0,39.0,27.0,2019
Makwan Amirkhani,Chris Fishgold,0,0,0.33,0.3,0.5,0.0,1,0,2,0,0,0,Submission,2,265,3 Rnd (5-5-5),Marc Goddard,2019-06-01,"Stockholm, Sweden",Featherweight Bout,Makwan Amirkhani,False,False,True,False,27,9,52,16,36,18,52,16,2,1,0,0,21,6,30,4,3,1,5,3,3,2,17,9,23,6,52,16,0,0,0,0,4,3,0,0,Featherweight,3,565,9.416666666666666,Southpaw,1988-11-08,177.8,182.88,145.0,Orthodox,1992-06-06,172.72,172.72,145.0,31.0,27.0,2019
Damir Hadzovic,Christos Giagos,0,0,0.39,0.41,1.0,0.46,0,0,0,3,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Rich Mitchell,2019-06-01,"Stockholm, Sweden",Lightweight Bout,Christos Giagos,True,False,False,False,61,24,113,47,87,42,141,67,1,1,13,6,48,20,90,28,12,3,16,12,1,1,7,7,45,14,91,38,6,5,10,6,10,5,12,3,Lightweight,3,900,15.0,Orthodox,1986-08-08,175.26,177.8,155.0,Orthodox,1990-01-23,177.8,180.34,155.0,33.0,29.0,2019
Daniel Teymur,Sung Bin Jo,0,0,0.48,0.33,0.16,0.33,0,1,0,0,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Rebin Saber,2019-06-01,"Stockholm, Sweden",Featherweight Bout,Daniel Teymur,True,False,False,False,83,40,63,21,93,49,65,23,6,1,3,1,53,22,53,13,6,5,9,7,24,13,1,1,57,24,52,12,11,8,10,8,15,8,1,1,Featherweight,3,900,15.0,Orthodox,1988-02-03,165.1,175.26,145.0,Orthodox,1992-07-17,182.88,182.88,145.0,31.0,27.0,2019
Rostem Akman,Sergey Khandozhko,0,1,0.39,0.4,0.4,0.16,0,0,1,1,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Leon Roberts,2019-06-01,"Stockholm, Sweden",Welterweight Bout,Sergey Khandozhko,True,False,False,False,100,39,149,60,103,40,151,60,5,2,6,1,91,30,100,30,6,6,27,11,3,3,22,19,91,31,141,55,9,8,8,5,0,0,0,0,Welterweight,3,900,15.0,Switch,1991-12-19,177.8,182.88,170.0,Orthodox,1992-05-19,185.42,187.96,170.0,28.0,27.0,2019
Tonya Evinger,Lina Lansberg,0,0,0.54,0.73,0.25,0.5,0,0,2,2,0,1,Decision - Unanimous,3,300,3 Rnd (5-5-5),Kevin Sataki,2019-06-01,"Stockholm, Sweden",Women's Bantamweight Bout,Lina Lansberg,True,False,False,False,11,6,68,50,83,68,181,151,4,1,2,1,7,2,62,45,4,4,6,5,0,0,0,0,9,4,4,1,1,1,10,7,1,1,54,42,Women's Bantamweight,3,900,15.0,Orthodox,1981-06-04,170.18,177.8,135.0,Orthodox,1982-03-13,170.18,165.1,135.0,38.0,37.0,2019
